Name;Latitude;Longitude
RH-92-PLUVIOMETRO-EFVM;-19.649351;-43.159383
RH-84-PLUVIOMETRO-EFVM;-19.956498;-43.286721
RH-78-PLUVIOMETRO-EFVM;-19.746002;-43.022259
RH-72-PLUVIOMETRO-EFVM;-19.648011;-42.860899
RH-60-PLUVIOMETRO-EFVM;-19.313211;-42.362461
RH-50-PLUVIOMETRO-EFVM;-18.862691;-41.962364
RH-37-PLUVIOMETRO-EFVM;-19.203117;-41.399608
RH-23-PLUVIOMETRO-EFVM;-19.542816;-40.689570
RH-210V-PLUVIOMETRO-EFVM;-19.873132;-43.778078
RH-203-PLUVIOMETRO-EFVM;-19.927519;-43.403119
RH-18V-PLUVIOMETRO-EFVM;-20.438004;-43.757320
RH-14-PLUVIOMETRO-EFVM;-19.779518;-40.370435
RH-13I-PLUVIOMETRO-EFVM;-20.164305;-43.466646
RH-07-PLUVIOMETRO-EFVM;-20.174832;-40.394653
PT-TU-D6-PLUVIOMETRO-EFVM;-20.267279;-40.238001
